id,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,extra_people,minimum_nights
9812439,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,73.0,60.0,1,0,2
3401644,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,150.0,25.0,4,1,1
10036903,98109,Apartment,Entire home/apt,3,1.0,1.0,1.0,85.0,0.0,1,0,3
5310193,98109,House,Entire home/apt,6,2.0,3.0,3.0,190.0,100.0,1,0,1
5308875,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,68.0,50.0,1,0,2
5052459,98109,Apartment,Entire home/apt,2,1.5,1.0,1.0,149.0,60.0,2,0,2
7651653,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,105.0,100.0,1,0,21
1494986,98109,Apartment,Entire home/apt,4,1.5,1.0,2.0,145.0,90.0,2,1,3
1783382,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,150.0,40.0,1,1,2
7513198,98109,Condominium,Entire home/apt,4,2.0,2.0,1.0,275.0,75.0,3,1,4
8308316,98109,Apartment,Entire home/apt,4,1.0,2.0,3.0,165.0,75.0,1,0,2
9694921,98109,House,Entire home/apt,5,2.0,3.0,3.0,196.0,65.0,5,1,2
2472850,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,195.0,35.0,1,0,2
5487522,98109,Apartment,Entire home/apt,4,2.0,2.0,2.0,200.0,0.0,2,1,2
4016650,98109,House,Private room,2,1.5,1.0,1.0,90.0,30.0,1,0,2
10229434,98109,Apartment,Entire home/apt,4,1.0,1.0,1.0,100.0,0.0,1,0,1
3479241,98109,Apartment,Private room,2,1.0,1.0,1.0,125.0,30.0,1,1,2
6077760,98109,House,Private room,2,1.5,1.0,1.0,130.0,50.0,1,0,2
4642956,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,209.0,90.0,2,1,3
1167507,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,110.0,50.0,2,1,2
6044106,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,90.0,60.0,0,0,2
1799255,98109,House,Private room,2,1.0,1.0,1.0,90.0,0.0,1,0,2
8941768,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,130.0,0.0,2,0,1
6569950,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,175.0,0.0,1,0,2
9215782,98109,Condominium,Entire home/apt,4,2.0,2.0,2.0,115.0,35.0,1,0,1
5175631,98109,Apartment,Entire home/apt,4,1.5,2.0,2.0,165.0,55.0,2,1,2
6315614,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,109.0,0.0,1,0,1
9134193,98119,Apartment,Entire home/apt,2,1.0,0.0,1.0,80.0,0.0,1,0,1
2481189,98109,House,Entire home/apt,6,2.0,3.0,4.0,285.0,150.0,1,0,2
8535897,98109,House,Private room,2,1.0,1.0,1.0,80.0,10.0,2,1,1
9476826,98109,Condominium,Private room,1,1.0,1.0,1.0,75.0,0.0,1,0,1
3144311,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,68.0,100.0,2,1,20
9370007,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,85.0,60.0,2,1,2
6781308,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,125.0,55.0,1,0,2
160222,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,110.0,100.0,2,1,2
8755479,98109,Apartment,Entire home/apt,4,2.0,2.0,2.0,235.0,45.0,2,1,1
8829156,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,75.0,20.0,3,1,1
5126077,98109,Apartment,Private room,2,1.0,1.0,1.0,95.0,25.0,1,0,1
6108796,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,103.0,60.0,4,1,2
2692126,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,120.0,60.0,2,1,3
6882211,98109,House,Entire home/apt,2,1.0,1.0,1.0,95.0,50.0,1,0,1
9573675,98109,Apartment,Entire home/apt,5,2.5,2.0,2.0,143.0,100.0,0,0,1
3544953,98109,Apartment,Private room,2,1.0,1.0,1.0,99.0,20.0,2,0,2
2020505,98109,House,Entire home/apt,2,1.0,1.0,1.0,142.0,40.0,1,0,3
5580457,98109,Apartment,Entire home/apt,2,1.0,1.0,2.0,150.0,25.0,2,1,2
1495271,98109,House,Entire home/apt,6,2.0,3.0,3.0,295.0,110.0,1,0,1
8455865,98109,House,Entire home/apt,6,3.5,4.0,4.0,335.0,125.0,1,0,2
9679300,98109,Apartment,Private room,2,1.0,1.0,1.0,60.0,0.0,1,0,1
6065566,98109,House,Entire home/apt,6,1.5,3.0,3.0,250.0,75.0,4,0,4
7091397,98109,Bungalow,Entire home/apt,3,1.0,1.0,2.0,156.0,25.0,2,0,3
6134153,98109,Apartment,Entire home/apt,4,1.0,2.0,3.0,200.0,111.0,4,1,2
7763878,98119,Apartment,Entire home/apt,4,2.0,2.0,2.0,180.0,30.0,3,0,2
8088447,98109,Apartment,Entire home/apt,3,1.0,1.0,1.0,103.0,0.0,1,0,1
3418349,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,99.0,0.0,1,0,1
9199982,98109,Apartment,Entire home/apt,3,1.0,1.0,1.0,94.0,40.0,1,0,2
6400000,98109,Apartment,Entire home/apt,4,1.0,1.0,1.0,160.0,72.0,0,0,1
6776229,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,129.0,60.0,1,0,2
7627794,98109,Loft,Entire home/apt,4,1.0,1.0,2.0,219.0,90.0,2,1,2
8374102,98109,Apartment,Entire home/apt,4,1.0,1.0,1.0,91.0,60.0,2,1,2
6316934,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,75.0,60.0,4,1,2
1820794,98109,Apartment,Entire home/apt,2,1.0,0.0,1.0,99.0,0.0,2,1,2
314180,98103,House,Entire home/apt,5,1.5,3.0,3.0,300.0,95.0,5,1,5
8670079,98105,House,Entire home/apt,5,2.0,3.0,3.0,150.0,100.0,1,0,1
4868135,98103,Apartment,Entire home/apt,6,1.0,2.0,3.0,149.0,105.0,1,0,2
5336585,98103,Loft,Entire home/apt,2,1.0,0.0,1.0,75.0,0.0,1,0,1
1427103,98103,Apartment,Entire home/apt,3,1.0,1.0,2.0,95.0,40.0,3,1,1
3518808,98103,Apartment,Entire home/apt,2,1.0,1.0,1.0,100.0,0.0,1,0,2
8995844,98103,House,Entire home/apt,6,2.0,3.0,2.0,250.0,0.0,1,0,4
356566,98103,House,Private room,2,2.0,1.0,1.0,105.0,50.0,1,1,5
6466388,98105,House,Private room,2,1.0,1.0,1.0,74.0,15.0,1,1,1
4531944,98103,House,Entire home/apt,2,1.0,1.0,1.0,140.0,65.0,1,0,1
6686072,98105,Apartment,Entire home/apt,4,1.0,1.0,1.0,130.0,50.0,2,1,3
4384343,98105,Apartment,Entire home/apt,2,1.0,1.0,1.0,110.0,40.0,1,0,2
6378563,98103,House,Entire home/apt,6,1.5,2.0,3.0,209.0,95.0,1,0,3
5630783,98103,House,Entire home/apt,4,1.0,0.0,2.0,100.0,50.0,2,1,2
340706,98103,Apartment,Entire home/apt,4,1.0,1.0,1.0,110.0,30.0,2,1,2
6202214,98103,Apartment,Entire home/apt,2,1.0,1.0,2.0,104.0,50.0,2,1,2
1030411,98103,House,Entire home/apt,4,2.0,2.0,2.0,200.0,100.0,1,0,3
7922373,98103,House,Entire home/apt,4,1.0,0.0,2.0,99.0,35.0,2,1,2
6156470,98103,House,Private room,2,1.0,1.0,1.0,90.0,13.0,1,0,1
2994309,98105,Apartment,Entire home/apt,6,1.0,2.0,3.0,135.0,30.0,2,1,3
1594328,98103,House,Entire home/apt,6,1.0,2.0,3.0,122.0,50.0,4,1,2
8072920,98103,Apartment,Entire home/apt,2,1.0,0.0,1.0,80.0,40.0,1,0,5
6915487,98103,House,Entire home/apt,4,1.0,2.0,2.0,158.0,65.0,2,1,2
6202603,98103,Apartment,Entire home/apt,4,1.0,1.0,1.0,90.0,10.0,2,1,1
5286781,98103,Apartment,Entire home/apt,3,1.0,1.0,2.0,100.0,0.0,1,0,1
2818420,98103,House,Entire home/apt,4,1.0,1.0,2.0,89.0,90.0,2,1,2
3739681,98103,House,Entire home/apt,4,1.0,2.0,2.0,125.0,50.0,4,0,3
7922063,98103,Apartment,Shared room,2,1.0,1.0,1.0,42.0,0.0,1,1,1
611509,98103,House,Private room,2,1.0,1.0,1.0,65.0,40.0,1,1,2
1802663,98103,House,Entire home/apt,4,1.0,1.0,2.0,100.0,40.0,2,1,2
9797545,98105,House,Private room,1,1.0,1.0,1.0,40.0,15.0,1,0,7
9241055,98103,House,Entire home/apt,6,1.0,3.0,3.0,185.0,0.0,4,1,4
9294832,98103,Apartment,Private room,2,1.0,1.0,2.0,40.0,35.0,1,0,2
8643209,98105,Apartment,Private room,2,1.5,1.0,1.0,70.0,20.0,1,1,1
7258811,98103,House,Shared room,1,1.0,1.0,1.0,40.0,35.0,1,0,4
10265391,98103,Apartment,Entire home/apt,2,1.0,1.0,1.0,70.0,0.0,1,0,1
132120,98103,Apartment,Entire home/apt,4,1.0,1.0,1.0,110.0,40.0,1,0,2
