id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,host_experience
7731836,0,98107,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,70.0,,,1,0,1,1125,3,100.0,flexible,3.0
10262971,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,70.0,,,1,0,1,1125,0,,flexible,3.0
1407502,0,98107,House,Private room,1,1.0,1.0,1.0,Real Bed,75.0,100.0,25.0,1,0,4,1125,9,89.0,strict,3.0
8817038,0,98107,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,85.0,100.0,,4,1,2,45,12,97.0,flexible,4.0
4449303,1,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,250.0,25.0,1,1,1,1125,50,95.0,strict,2.0
8255615,0,98107,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,90.0,,20.0,1,0,3,30,3,100.0,flexible,1.0
4053092,1,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,,,1,0,1,1125,24,98.0,flexible,3.0
6886633,0,98107,Camper/RV,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,75.0,200.0,,1,1,1,7,81,95.0,moderate,2.0
8820414,1,98107,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,80.0,,,1,0,1,1125,0,,flexible,3.0
3052151,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,70.0,100.0,,1,0,2,14,19,85.0,flexible,3.0
2339333,0,98107,House,Entire home/apt,8,3.5,4.0,4.0,Real Bed,350.0,1000.0,200.0,1,0,3,1125,6,100.0,moderate,2.0
1618842,1,98107,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,95.0,,40.0,2,1,2,30,115,99.0,moderate,3.0
888967,1,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,90.0,,,1,0,1,1125,72,99.0,flexible,4.0
380950,0,98107,House,Entire home/apt,12,2.0,4.0,5.0,Real Bed,435.0,500.0,200.0,9,1,2,1125,12,84.0,strict,6.0
8097708,0,98107,House,Entire home/apt,6,1.5,3.0,3.0,Real Bed,250.0,,185.0,1,0,2,1125,1,100.0,strict,1.0
5671843,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,65.0,,20.0,1,0,14,90,31,95.0,moderate,2.0
904057,1,98107,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,95.0,100.0,,2,1,3,60,125,97.0,strict,3.0
7161725,0,98107,Townhouse,Private room,3,1.0,1.0,2.0,Real Bed,110.0,,50.0,2,1,2,10,7,97.0,moderate,2.0
